date,volume_string,change,change_percent,volume,change_string,change_percent_string,high,low,human_date,currency,close,open,stock
2007-06-05,"5,247,000",-0.39000000000000057,-0.36712792996328775,5247000,-0.390,-0.37%,106.55,105.54,5 Jun 2007,USD,105.84,106.23,IBM
2007-06-04,"4,573,470",-0.3100000000000023,-0.29097052750141006,4573470,-0.310,-0.29%,106.59,105.58,4 Jun 2007,USD,106.23,106.5,IBM
2007-06-01,"5,289,190",-0.05999999999998806,-0.056285178236386554,5289190,-0.060,-0.06%,107.24,106.02,1 Jun 2007,USD,106.54,106.62,IBM
2007-05-31,"5,106,300",-0.3300000000000125,-0.30861311138128916,5106300,-0.330,-0.31%,107.67,106.0,31 May 2007,USD,106.6,107.26,IBM
2007-05-30,"7,401,100",1.0200000000000102,0.9630818619582762,7401100,1.020,0.96%,107.1,105.21,30 May 2007,USD,106.93,105.35,IBM
2007-05-29,"5,420,700",0.7299999999999898,0.6940482981555331,5420700,0.730,0.69%,106.63,105.3,29 May 2007,USD,105.91,105.37,IBM
2007-05-25,"6,123,000",1.230000000000004,1.183261183261187,6123000,1.230,1.18%,105.43,103.85,25 May 2007,USD,105.18,104.29,IBM
2007-05-24,"6,927,000",-1.6299999999999955,-1.5438530024625834,6927000,-1.630,-1.54%,105.98,103.57,24 May 2007,USD,103.95,105.38,IBM
2007-05-23,"4,396,825",-1.1200000000000045,-1.0496719775070333,4396825,-1.120,-1.05%,107.0,105.25,23 May 2007,USD,105.58,106.8,IBM
2007-05-22,"5,314,320",-0.3400000000000034,-0.3176382660687625,5314320,-0.340,-0.32%,107.25,106.01,22 May 2007,USD,106.7,106.99,IBM
2007-05-21,"7,534,802",-0.9499999999999886,-0.8797110843596524,7534802,-0.950,-0.88%,108.0,106.87,21 May 2007,USD,107.04,107.72,IBM
2007-05-18,"9,857,500",2.6799999999999926,2.5448675339473863,9857500,2.680,2.54%,108.05,105.6,18 May 2007,USD,107.99,105.95,IBM
2007-05-17,"7,720,700",-0.5600000000000023,-0.5289505997922,7720700,-0.560,-0.53%,106.23,104.73,17 May 2007,USD,105.31,105.5,IBM
2007-05-16,"5,613,508",1.0400000000000063,0.9920824191548281,5613508,1.040,0.99%,105.89,104.53,16 May 2007,USD,105.87,104.77,IBM
2007-05-15,"6,104,300",-0.7399999999999949,-0.7009567111868854,6104300,-0.740,-0.70%,105.8,104.7,15 May 2007,USD,104.83,105.5,IBM
2007-05-14,"5,732,600",-0.4100000000000108,-0.3868654463106348,5732600,-0.410,-0.39%,106.25,104.79,14 May 2007,USD,105.57,105.98,IBM
2007-05-11,"6,026,250",1.2999999999999972,1.2418800152846743,6026250,1.300,1.24%,105.99,104.67,11 May 2007,USD,105.98,104.75,IBM
2007-05-10,"8,959,800",0.30000000000001137,0.28741138149071793,8959800,0.300,0.29%,105.11,103.71,10 May 2007,USD,104.68,103.98,IBM
2007-05-09,"8,408,086",1.0899999999999892,1.0552812469745272,8408086,1.090,1.06%,104.75,103.7,9 May 2007,USD,104.38,104.29,IBM
2007-05-08,"5,972,400",0.13000000000000966,0.1260178363706957,5972400,0.130,0.13%,103.39,102.21,8 May 2007,USD,103.29,102.41,IBM
2007-05-07,"5,620,878",0.20000000000000284,0.19425019425019702,5620878,0.200,0.19%,103.17,102.4,7 May 2007,USD,103.16,102.76,IBM
2007-05-04,"5,469,734",0.1599999999999966,0.1556420233463002,5469734,0.160,0.16%,103.03,102.25,4 May 2007,USD,102.96,102.65,IBM
2007-05-03,"7,318,750",0.5799999999999983,0.5674036392095464,7318750,0.580,0.57%,103.0,101.35,3 May 2007,USD,102.8,101.75,IBM
2007-05-02,"7,045,178",-0.9500000000000028,-0.9208103130755092,7045178,-0.950,-0.92%,103.14,102.13,2 May 2007,USD,102.22,103.2,IBM
2007-05-01,"8,672,146",0.960000000000008,0.9392427355444751,8672146,0.960,0.94%,103.17,102.05,1 May 2007,USD,103.17,102.02,IBM
